lead_id,google_rating,google_reviews,has_website,has_phone,business_type,city,estimated_employees,deal_size,reply_probability,enrichment_cost,estimated_value,value_to_cost_ratio
0,4.399887113361719,19,True,True,finance,Miami,70,5000.0,0.2925650632447456,0.002,1462.8253162237281,731412.658111864
1,3.7472604723199696,16,True,True,finance,Tallahassee,12,3000.0,0.22436565801403796,0.002,673.0969740421139,336548.48702105694
2,4.010918722980305,30,True,True,other,Miami,13,3000.0,0.19099516788544516,0.002,572.9855036563355,286492.75182816776
3,4.849614148893033,108,True,False,other,Orlando,12,3000.0,0.2299058832370548,0.002,689.7176497111644,344858.8248555822
4,,0,True,True,real_estate,Orlando,44,3000.0,0.13161704401827376,0.002,394.8511320548213,197425.56602741065
5,4.568757784233544,43,True,True,insurance,Miami,90,5000.0,0.19412696842422678,0.002,970.6348421211338,485317.4210605669
6,3.733191159995062,1,True,True,insurance,Orlando,13,3000.0,0.1254186623405523,0.002,376.2559870216569,188127.99351082844
7,4.0972812210661855,18,True,True,real_estate,St. Petersburg,13,3000.0,0.2130865464421929,0.002,639.2596393265787,319629.81966328935
8,3.7249889725447094,7,True,True,real_estate,Miami,27,3000.0,0.1718092399351692,0.002,515.4277198055075,257713.85990275376
9,4.030483462049719,4,False,False,real_estate,Tallahassee,16,3000.0,0.10803566441181799,0.001,324.10699323545396,324106.99323545396
10,4.620154068728698,7,False,True,insurance,Tallahassee,52,5000.0,0.15600705693106284,0.001,780.0352846553142,780035.2846553142
11,3.336339788403826,13,True,True,real_estate,Tampa,2,3000.0,0.22264700694178144,0.002,667.9410208253444,333970.5104126722
12,4.417211821772929,60,True,True,other,Miami,9,3000.0,0.13006285349697502,0.002,390.18856049092506,195094.28024546252
13,4.318867801166139,4,True,True,real_estate,Jacksonville,9,3000.0,0.20782773097439586,0.002,623.4831929231876,311741.5964615938
14,3.902925022151603,20,False,True,other,Miami,2,3000.0,0.17069460402200362,0.001,512.0838120660109,512083.81206601084
15,3.4769710728057728,11,True,True,real_estate,Tampa,8,3000.0,0.26100511065474075,0.002,783.0153319642222,391507.6659821111
16,4.236064753856935,13,False,True,insurance,Naples,8,3000.0,0.17480216480788763,0.001,524.4064944236629,524406.4944236629
17,,0,True,True,real_estate,Naples,16,3000.0,0.13143545136550638,0.002,394.30635409651916,197153.17704825956
18,4.316338105677352,38,True,True,finance,St. Petersburg,61,5000.0,0.16078822747595975,0.002,803.9411373797988,401970.56868989934
19,4.210926072761722,99,True,True,insurance,Orlando,16,3000.0,0.15583634283910255,0.002,467.5090285173077,233754.51425865383
20,5.0,16,True,False,other,Fort Lauderdale,7,3000.0,0.2218430893279857,0.002,665.5292679839571,332764.63399197854
21,4.080322186263488,8,True,True,insurance,Fort Lauderdale,19,3000.0,0.1999325305609739,0.002,599.7975916829217,299898.7958414609
22,3.6882512536890677,15,True,True,real_estate,Tampa,57,5000.0,0.2824013628576261,0.002,1412.0068142881307,706003.4071440654
23,4.289637817478158,26,False,True,real_estate,Fort Lauderdale,8,3000.0,0.2157753464477839,0.001,647.3260393433517,647326.0393433516
24,4.3099983419858825,24,True,True,real_estate,Miami,8,3000.0,0.22071148286767878,0.002,662.1344486030363,331067.2243015181
25,4.879593787620219,5,True,True,real_estate,Orlando,35,3000.0,0.16824417999186458,0.002,504.73253997559374,252366.26998779687
26,4.61755562295729,22,True,True,finance,Jacksonville,16,3000.0,0.184695883455169,0.002,554.087650365507,277043.8251827535
27,,0,True,True,insurance,Miami,38,3000.0,0.11559415742584994,0.002,346.7824722775498,173391.2361387749
28,4.931651445609781,411,True,True,insurance,Miami,20,3000.0,0.21963826486862623,0.003,658.9147946058787,219638.26486862623
29,3.6056184728385747,190,False,True,other,Tallahassee,41,3000.0,0.12152362310313944,0.001,364.5708693094183,364570.8693094183
30,3.8801242336251263,7,True,False,insurance,Naples,7,3000.0,0.18930267697299916,0.002,567.9080309189975,283954.01545949874
31,3.736712029297238,14,False,True,insurance,Jacksonville,20,3000.0,0.11230803690352491,0.001,336.9241107105747,336924.1107105747
32,4.0050950984221165,3,False,True,real_estate,Tallahassee,16,3000.0,0.1258134332025255,0.001,377.4402996075765,377440.2996075765
33,3.5116569262218458,9,True,True,real_estate,Naples,6,3000.0,0.2192510786032444,0.002,657.7532358097332,328876.6179048666
34,4.517575473407202,29,False,True,finance,Miami,4,3000.0,0.12915746579087395,0.001,387.47239737262186,387472.39737262187
35,4.088888651450613,85,False,True,other,Tampa,40,3000.0,0.15272522236452363,0.001,458.1756670935709,458175.66709357087
36,3.464596852748671,8,False,False,real_estate,Tampa,14,3000.0,0.15545707150839846,0.001,466.3712145251954,466371.21452519536
37,3.6922104593962293,9,True,True,finance,Miami,7,3000.0,0.13197200031857853,0.002,395.91600095573557,197958.00047786778
38,4.356756923725098,1,True,True,finance,St. Petersburg,18,3000.0,0.15618340887869783,0.002,468.5502266360935,234275.11331804676
39,4.619063283947191,16,True,True,real_estate,Tampa,62,5000.0,0.3158912998505741,0.002,1579.4564992528706,789728.2496264352
40,5.0,5,True,True,real_estate,Tampa,2,3000.0,0.17378503544244325,0.002,521.3551063273297,260677.55316366485
41,5.0,10,True,False,other,Miami,4,3000.0,0.11762644960869546,0.002,352.8793488260864,176439.6744130432
42,4.407204716637998,7,True,True,finance,Miami,8,3000.0,0.11652914364271814,0.002,349.58743092815445,174793.71546407722
43,3.705230939984068,17,True,True,real_estate,Tallahassee,87,5000.0,0.213808320393542,0.002,1069.04160196771,534520.800983855
44,3.1339768596343456,2,True,True,other,Miami,27,3000.0,0.15979999280378004,0.002,479.39997841134016,239699.98920567008
45,4.333855731171918,3,True,True,real_estate,Orlando,43,3000.0,0.20654052114998192,0.002,619.6215634499457,309810.7817249728
46,3.793529452344837,258,False,False,other,Orlando,6,3000.0,0.19739147910445623,0.001,592.1744373133687,592174.4373133687
47,3.9923213699101576,4,False,True,real_estate,Tampa,7,3000.0,0.07294549315231212,0.001,218.83647945693636,218836.47945693636
48,3.8939516004700963,5,True,True,finance,Jacksonville,31,3000.0,0.19397934691581611,0.002,581.9380407474483,290969.02037372417
49,4.129604556791808,182,True,True,real_estate,Tampa,21,3000.0,0.33725707757556056,0.002,1011.7712327266817,505885.6163633408
50,4.732990115393822,655,False,True,real_estate,Miami,35,3000.0,0.14854390367705983,0.001,445.63171103117946,445631.71103117947
51,,0,True,True,other,Orlando,17,3000.0,0.09850546483099834,0.002,295.516394492995,147758.1972464975
52,4.120682581480656,12,True,False,real_estate,Tallahassee,27,3000.0,0.1819579391646178,0.002,545.8738174938534,272936.9087469267
53,3.6821731235870945,30,True,True,real_estate,Fort Lauderdale,24,3000.0,0.17440218922297415,0.002,523.2065676689225,261603.28383446124
54,3.3626585276478216,159,True,True,real_estate,Fort Lauderdale,44,3000.0,0.20741126020914855,0.002,622.2337806274456,311116.89031372283
55,3.956846045463335,6,True,True,insurance,Fort Lauderdale,45,3000.0,0.24980784426405953,0.002,749.4235327921785,374711.7663960893
56,4.17310872459084,14,False,True,insurance,St. Petersburg,4,3000.0,0.21205068501501936,0.001,636.1520550450581,636152.0550450581
57,5.0,51,True,False,other,Miami,2,3000.0,0.19730570948180176,0.002,591.9171284454053,295958.56422270264
58,4.265137260736443,33,True,True,real_estate,Tampa,55,5000.0,0.34516800472330855,0.002,1725.8400236165428,862920.0118082714
59,4.691369755511529,12,False,True,real_estate,Jacksonville,66,5000.0,0.1682452039649514,0.001,841.226019824757,841226.019824757
60,3.950352200730424,17,False,True,real_estate,Orlando,7,3000.0,0.2395165486697127,0.001,718.5496460091381,718549.6460091381
61,3.607528116791488,3,True,True,finance,Tallahassee,3,3000.0,0.16441044666395246,0.002,493.2313399918574,246615.6699959287
62,3.7174416188838144,15,True,True,other,Tampa,22,3000.0,0.18603837949914853,0.002,558.1151384974456,279057.5692487228
63,3.8373869677321237,14,True,True,insurance,St. Petersburg,51,5000.0,0.1986953106169032,0.002,993.476553084516,496738.276542258
64,5.0,26,True,True,finance,Tallahassee,121,5000.0,0.4057526153875049,0.002,2028.7630769375246,1014381.5384687623
65,3.789306660387807,10,True,True,real_estate,Jacksonville,34,3000.0,0.2554025584109733,0.002,766.2076752329199,383103.83761645993
66,4.619244601868172,35,False,True,other,Tallahassee,14,3000.0,0.12145812072752489,0.001,364.37436218257466,364374.36218257464
67,3.748536410956487,67,True,True,real_estate,Jacksonville,8,3000.0,0.279186406157362,0.002,837.5592184720861,418779.609236043
68,,0,True,True,real_estate,Tallahassee,20,3000.0,0.11830817046180915,0.002,354.9245113854275,177462.25569271375
69,4.392475483052932,30,True,True,real_estate,Orlando,15,3000.0,0.2061764852043635,0.002,618.5294556130905,309264.7278065452
70,4.121681051170955,21,True,True,real_estate,Tampa,7,3000.0,0.2732360336121172,0.002,819.7081008363515,409854.05041817576
71,4.179618736932283,20,False,True,real_estate,Jacksonville,156,5000.0,0.16288814608423902,0.001,814.4407304211951,814440.730421195
72,3.872606152285305,8,False,True,real_estate,Miami,120,5000.0,0.1622130471059472,0.001,811.065235529736,811065.235529736
73,4.42303610074104,29,True,True,real_estate,Tampa,63,5000.0,0.2323694087064436,0.002,1161.847043532218,580923.521766109
74,,0,True,True,finance,Naples,8,3000.0,0.119305322264696,0.002,357.91596679408804,178957.983397044
75,3.587197118116376,247,False,True,real_estate,Fort Lauderdale,47,3000.0,0.18749420026725405,0.001,562.4826008017621,562482.6008017621
76,3.5610312128401906,132,True,True,real_estate,Miami,38,3000.0,0.14072893014350882,0.002,422.18679043052646,211093.3952152632
77,4.28629395886106,31,False,True,other,Orlando,31,3000.0,0.1662575944214501,0.001,498.7727832643503,498772.7832643503
78,4.989545628205217,8,True,True,insurance,Miami,70,5000.0,0.15630271945493926,0.002,781.5135972746963,390756.7986373481
79,4.27999580678672,5,False,True,finance,Miami,38,3000.0,0.08870889129306296,0.001,266.1266738791889,266126.6738791889
80,4.140680836945059,83,True,True,real_estate,Naples,42,3000.0,0.2316352119701862,0.002,694.9056359105585,347452.81795527926
81,4.342913069801272,27,True,True,other,Tampa,38,3000.0,0.19987978007069093,0.002,599.6393402120729,299819.6701060364
82,4.853000870853412,35,True,True,real_estate,Orlando,28,3000.0,0.20644057997290458,0.002,619.3217399187138,309660.8699593569
83,4.3096912506819285,2,True,True,real_estate,Jacksonville,3,3000.0,0.2537716362635183,0.002,761.3149087905549,380657.4543952774
84,,0,True,True,other,Miami,22,3000.0,0.07567243549629293,0.002,227.0173064888788,113508.6532444394
85,,0,True,True,finance,Orlando,12,3000.0,0.09778487076956294,0.002,293.3546123086888,146677.30615434438
86,4.414378219230807,5,False,True,insurance,Fort Lauderdale,6,3000.0,0.11343254401594934,0.001,340.297632047848,340297.632047848
87,4.967877995997997,11,True,True,finance,Fort Lauderdale,108,5000.0,0.1988359708068011,0.002,994.1798540340055,497089.9270170028
88,4.291617218610953,27,True,True,finance,Naples,113,5000.0,0.20837698456269102,0.002,1041.8849228134552,520942.4614067276
89,3.58776548413975,21,True,True,real_estate,Fort Lauderdale,78,5000.0,0.1655797937065359,0.002,827.8989685326794,413949.4842663397
90,3.515920400377168,14,True,True,real_estate,Tampa,26,3000.0,0.24501059923005108,0.002,735.0317976901532,367515.8988450766
91,5.0,17,False,False,real_estate,St. Petersburg,78,5000.0,0.17703289002988312,0.001,885.1644501494156,885164.4501494156
92,5.0,14,False,False,real_estate,Tallahassee,20,3000.0,0.10600808507408258,0.001,318.02425522224775,318024.25522224774
93,4.1102403933586995,24,True,True,other,St. Petersburg,25,3000.0,0.11574000483292474,0.002,347.2200144987742,173610.0072493871
94,4.008406339432006,117,False,True,real_estate,Naples,7,3000.0,0.1702081486510283,0.001,510.6244459530849,510624.44595308485
95,4.930722146121101,0,False,True,finance,St. Petersburg,30,3000.0,0.1218952804620846,0.001,365.6858413862538,365685.8413862538
96,3.6464771589782563,15,True,True,insurance,Tallahassee,21,3000.0,0.17439129548913868,0.002,523.1738864674161,261586.94323370804
97,,0,False,True,insurance,Miami,5,3000.0,0.0752717691552605,0.001,225.8153074657815,225815.3074657815
98,4.521663397344522,28,True,True,real_estate,St. Petersburg,19,3000.0,0.24575768684170032,0.002,737.273060525101,368636.53026255046
99,4.002697438570205,12,False,True,real_estate,Tampa,19,3000.0,0.1966865002475256,0.001,590.0595007425768,590059.5007425768
